ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s)
2.197067;-9.742111;0.459457;-0.3925;0.2002;0.1609
2.258728;-9.742111;0.445694;-0.3925;-0.3488;-0.0227
2.216217;-9.730743;0.457657;-0.3925;-0.501;0.3436
2.229386;-9.734924;0.416962;0.2789;-0.1958;-0.2972
2.213226;-9.713974;0.421158;0.2483;-0.8367;-0.2972
2.236572;-9.782806;0.461258;0.2483;1.0552;0.4048
2.261719;-9.745102;0.424149;0.5237;1.0858;-0.3584
2.195877;-9.744507;0.437317;0.3401;-0.4704;-0.2361
2.340119;-9.751678;0.564804;-0.4231;0.6889;-0.4196
2.306;-9.769043;0.475616;0.188;0.1093;-0.1145
2.1857;-9.773834;0.481003;-0.6671;-0.9591;-0.3278
2.232987;-9.724747;0.473221;0.4013;-0.257;-0.0533
2.222214;-9.750488;0.478012;0.035;0.0481;-0.2361
2.253327;-9.745102;0.496567;-0.1783;-0.8673;0.2212
2.270691;-9.727142;0.503159;-0.3619;-0.2876;0.1303
2.238373;-9.731339;0.445694;-0.2089;-0.3794;0.2518
2.256333;-9.733124;0.479813;0.584;-0.7151;0.1303
2.219818;-9.770844;0.47023;-0.2395;-0.3794;0.4354
2.229996;-9.73912;0.520508;0.035;0.1705;0.2212
2.203659;-9.744507;0.483398;-0.6059;0.0481;-0.2667
2.30481;-9.75708;0.472626;0.5237;0.3226;-0.48
2.127045;-9.773834;0.494782;-0.7589;-2.4243;-0.0839
-2.513519;-7.092926;-3.981186;-79.2494;-15.3634;31.5933
-4.331924;-15.660583;-0.639481;157.5057;154.7719;-25.7488
-1.94191;-5.043487;5.709946;-232.8445;589.5863;-296.8975
-4.028458;3.648667;4.83487;59.6965;5.1748;-141.5023
6.601212;-9.136978;3.400742;-26.8207;-106.7022;-419.1817
-1.977814;-17.195267;-18.487656;-129.6035;367.1438;-98.2585
-19.944504;-19.790573;19.731583;-286.6467;-103.7113;564.3393
-16.158081;0.994095;1.904953;72.6671;373.6745;417.2137
-10.091171;-3.900253;-7.627548;123.2651;41.3081;-219.352
-5.95578;-4.534713;0.799439;-99.0253;-35.169;-191.1544
-3.453247;-9.77742;1.889404;24.0222;-59.3389;16.152
-4.515075;-8.09909;0.58815;20.0547;-23.9391;14.4428
-5.406311;-8.73056;1.253143;-4.1764;-2.5459;-0.2055
-5.168686;-8.853256;1.174728;1.439;-1.8132;1.1374
-5.527221;-8.679077;1.275284;-0.3313;-1.1121;0.5569
-5.534408;-8.518066;1.449463;-0.1172;0.4756;-0.0533
-5.539795;-8.585114;1.39978;-0.6977;-0.6539;-0.1443
-5.527221;-8.57254;1.257324;-0.3007;0.8716;0.313
-5.485931;-8.673691;1.282471;0.3401;-0.501;0.7405
-5.535599;-8.628204;0.900589;0.5237;0.8113;-0.5106
-5.494308;-8.603668;1.33754;0.035;-0.7763;0.1915
-5.516449;-8.57074;1.245956;0.0962;-1.0203;0.2212
-5.50148;-8.642578;1.209442;1.53;0.3532;0.466
-5.535003;-8.553391;1.275284;-0.7886;-0.8673;0.0691
-5.627777;-8.488144;1.400986;0.4625;1.6655;0.0385
-5.669082;-8.555786;1.214233;-1.2161;0.0175;0.5569
-5.686432;-8.457626;1.247147;-0.8498;-1.3254;-0.0227
-5.555954;-8.516876;1.541641;-0.6059;2.3675;-0.2972
-5.598449;-8.566559;1.286057;0.3707;-1.5387;0.0997
-5.683441;-8.521667;1.527268;-1.2161;0.6583;0.466
-5.64035;-8.529449;1.341721;0.1268;2.2145;-1.2432
-5.566726;-8.535431;1.380631;-0.6977;-0.6539;0.0079
-5.562546;-8.594681;1.281265;0.4319;0.0175;-0.2361
-5.657104;-8.458221;1.408157;1.286;1.147;-0.3584
-5.551162;-8.483963;1.429703;0.1268;-0.7457;-0.633
-5.548172;-8.541412;1.323166;-0.4529;1.2992;-0.5718
-5.555359;-8.51329;1.468018;-0.0262;-0.2876;-0.2667
-5.517654;-8.599472;1.386017;-0.7283;0.0481;0.0079
